artistname,artistURL,day,starttime,endtime,venue,category
SpivOberta,https://schedule.sxsw.com/2018/artists/23083,"Mar 17, 2018",8:00pm , 8:40pm,Russian House,World
Sports,https://schedule.sxsw.com/2018/artists/22554,"Mar 14, 2018",11:50pm , 12:30am,The Sidewinder Inside,Pop
Sputnik,https://schedule.sxsw.com/2018/artists/18499,"Mar 17, 2018",12:00am , 12:40pm,720 Club,Latin Rock
Sputnik,https://schedule.sxsw.com/2018/artists/18499,"Mar 14, 2018",9:40pm , 10:10pm,The Main,Latin Rock
SpzZy Turnt,https://schedule.sxsw.com/2018/artists/23764,"Mar 16, 2018",7:45pm , 7:55pm,Highland Lounge,Hip Hop / Rap
Squidnice,https://schedule.sxsw.com/2018/artists/23102,"Mar 16, 2018",10:05pm , 10:25pm,Buffalo Billiards,Hip Hop / Rap
Squidnice,https://schedule.sxsw.com/2018/artists/23102,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
STAL,https://schedule.sxsw.com/2018/artists/21834,"Mar 15, 2018",8:00pm , 8:40pm,Maggie Mae's Rooftop,Rock
Starcrawler,https://schedule.sxsw.com/2018/artists/22921,"Mar 14, 2018",1:00am , 1:40am,Seven Grand,Rock
Starcrawler,https://schedule.sxsw.com/2018/artists/22921,"Mar 16, 2018",11:45pm , 12:25am,Barracuda,Rock
Starcrawler,https://schedule.sxsw.com/2018/artists/22921,"Mar 13, 2018",8:00pm , 8:40pm,The Main II,Rock
Statik selektah,https://schedule.sxsw.com/2018/artists/23791,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
Steak,https://schedule.sxsw.com/2018/artists/18375,"Mar 16, 2018",8:50pm , 9:20pm,Valhalla,Rock
Steelyone,https://schedule.sxsw.com/2018/artists/23545,"Mar 16, 2018",10:10pm , 10:25pm,Highland Lounge,R & B
Stefficrown,https://schedule.sxsw.com/2018/artists/18150,"Mar 15, 2018",10:30pm , 11:10pm,Speakeasy Kabaret,Latin Hip Hop
Stefficrown,https://schedule.sxsw.com/2018/artists/18150,"Mar 16, 2018",8:00pm , 8:40pm,Maggie Mae's,Latin Hip Hop
Stefficrown,https://schedule.sxsw.com/2018/artists/18150,"Mar 17, 2018",8:40pm , 9:15pm,Half Step,Latin Hip Hop
Stella Donnelly,https://schedule.sxsw.com/2018/artists/17539,"Mar 14, 2018",10:00pm , 10:40pm,The Townsend,Folk
Stella Donnelly,https://schedule.sxsw.com/2018/artists/17539,"Mar 15, 2018",8:15pm , 8:45pm,Barracuda,Folk
The Steoples,https://schedule.sxsw.com/2018/artists/23122,"Mar 16, 2018",8:00pm , 8:20pm,Empire Garage,Soul
Stephanie Rice,https://schedule.sxsw.com/2018/artists/23342,"Mar 17, 2018",11:55pm , 12:15am,Tap Room at The Market,Pop
Stephen Mykal & Feng Shway,https://schedule.sxsw.com/2018/artists/23776,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
Step Rockets,https://schedule.sxsw.com/2018/artists/19922,"Mar 16, 2018",12:00am , 12:40am,18th Over Austin,Rock
Stev Camo,https://schedule.sxsw.com/2018/artists/23436,"Mar 14, 2018",9:50pm , 10:05pm,Tap Room at The Market,Hip Hop / Rap
Steve Hauschildt,https://schedule.sxsw.com/2018/artists/22724,"Mar 17, 2018",11:20pm , 12:00am,Central Presbyterian Church,Electronic
Stimulator Jones,https://schedule.sxsw.com/2018/artists/23121,"Mar 16, 2018",8:30pm , 8:50pm,Empire Garage,R & B
STLNDRMS,https://schedule.sxsw.com/2018/artists/23300,"Mar 13, 2018",10:30pm , 11:00pm,Parish,Hip Hop / Rap
Stone Wheels,https://schedule.sxsw.com/2018/artists/20979,"Mar 17, 2018",1:00am , 1:50am,Stephen F's Bar,Americana
Stop Light Observations,https://schedule.sxsw.com/2018/artists/20902,"Mar 14, 2018",1:00am , 1:40am,Esther's Follies,Rock
Stove,https://schedule.sxsw.com/2018/artists/22922,"Mar 16, 2018",12:50am , 1:40am,The Velveeta Room,Rock
Strange Love,https://schedule.sxsw.com/2018/artists/23788,,None,TBD,TBD,Hip Hop / Rap
Strawberry Runners,https://schedule.sxsw.com/2018/artists/17977,"Mar 13, 2018",9:20pm , 10:00pm,Valhalla,Rock
Street Hymns,https://schedule.sxsw.com/2018/artists/23283,"Mar 16, 2018",7:25pm , 7:40pm,University Avenue Church of Christ,Gospel
Strvngers,https://schedule.sxsw.com/2018/artists/20566,"Mar 17, 2018",12:20am , 12:50pm,Valhalla,Electronic
The Strypes,https://schedule.sxsw.com/2018/artists/21767,"Mar 15, 2018",10:00pm , 10:40pm,The Velveeta Room,Rock
The Strypes,https://schedule.sxsw.com/2018/artists/21767,"Mar 16, 2018",8:45pm , 9:25pm,720 Club Patio,Rock
Sturle Dagsland,https://schedule.sxsw.com/2018/artists/18592,"Mar 15, 2018",12:00am , 12:40am,The Hideout,World
Stuyedeyed,https://schedule.sxsw.com/2018/artists/22815,"Mar 14, 2018",7:45pm , 8:15pm,Dirty Dog Bar,Rock
Subhi,https://schedule.sxsw.com/2018/artists/20455,"Mar 16, 2018",10:30pm , 11:10pm,Elephant Room,World
Subs,https://schedule.sxsw.com/2018/artists/23033,"Mar 15, 2018",12:00am , 12:40am,3TEN Austin City Limits Live,Punk
Suburban Living,https://schedule.sxsw.com/2018/artists/21837,"Mar 13, 2018",9:20pm , 9:50pm,Cheer Up Charlie's,Rock
Sudan Archives,https://schedule.sxsw.com/2018/artists/19983,"Mar 14, 2018",4:00pm , 4:40pm,Radio Day Stage Austin Convention Center,Soul
Sudan Archives,https://schedule.sxsw.com/2018/artists/19983,"Mar 12, 2018",8:00pm , 8:45pm,Mohawk Indoor,Soul
Sudan Archives,https://schedule.sxsw.com/2018/artists/19983,"Mar 16, 2018",11:30pm , 12:00am,Empire Garage,Soul
Summer Heart,https://schedule.sxsw.com/2018/artists/21476,"Mar 13, 2018",11:00pm , 11:40pm,Cheer Up Charlie's,Electronic
Summer Heart,https://schedule.sxsw.com/2018/artists/21476,"Mar 17, 2018",11:00pm , 11:40pm,Palm Door on Sabine,Electronic
Summer Salt,https://schedule.sxsw.com/2018/artists/19795,"Mar 16, 2018",7:00pm , 7:40pm,BD Riley's,Rock
Sunflower Bean,https://schedule.sxsw.com/2018/artists/21314,"Mar 16, 2018",12:00pm , 12:40pm,Radio Day Stage Austin Convention Center,Rock
Sunflower Bean,https://schedule.sxsw.com/2018/artists/21314,"Mar 15, 2018",11:35pm , 12:15am,Hotel Vegas Patio,Rock
Sun June,https://schedule.sxsw.com/2018/artists/20640,"Mar 17, 2018",9:00pm , 9:40pm,Lamberts,Pop
Sun June,https://schedule.sxsw.com/2018/artists/20640,"Mar 16, 2018",9:25pm , 9:55pm,Seven Grand,Pop
Sun June,https://schedule.sxsw.com/2018/artists/20640,"Mar 15, 2018",7:00pm , 7:40pm,Sheraton BackYARD,Pop
Sun Parade,https://schedule.sxsw.com/2018/artists/22401,"Mar 13, 2018",11:00pm , 11:40pm,Cooper's BBQ,Rock
Sun Seeker,https://schedule.sxsw.com/2018/artists/18164,"Mar 15, 2018",7:00pm , 7:40pm,Central Presbyterian Church,Rock
Sun Seeker,https://schedule.sxsw.com/2018/artists/18164,"Mar 14, 2018",8:00pm , 8:30pm,Hotel Vegas,Rock
Sun Voyager,https://schedule.sxsw.com/2018/artists/19053,"Mar 13, 2018",1:00am , 1:50am,720 Club,Rock
Sun Voyager,https://schedule.sxsw.com/2018/artists/19053,"Mar 14, 2018",7:45pm , 8:15pm,Hotel Vegas at Volstead,Rock
Superbody,https://schedule.sxsw.com/2018/artists/21225,"Mar 16, 2018",8:50pm , 9:20pm,Javelina,Pop
Superchunk,https://schedule.sxsw.com/2018/artists/22861,"Mar 12, 2018",10:45pm , 12:00am,Mohawk Outdoor,Rock
Superchunk,https://schedule.sxsw.com/2018/artists/22861,"Mar 13, 2018",8:15pm , 8:55pm,The Main,Rock
Super Doppler,https://schedule.sxsw.com/2018/artists/18990,"Mar 13, 2018",1:00am , 1:50am,Cooper's BBQ,Rock
Superorganism,https://schedule.sxsw.com/2018/artists/22610,"Mar 17, 2018",8:00pm , 8:40pm,British Music Embassy @ Latitude 30,Pop
Superorganism,https://schedule.sxsw.com/2018/artists/22610,"Mar 14, 2018",8:20pm , 9:00pm,Stubb's,Pop
Super Smash Bros (SSB),https://schedule.sxsw.com/2018/artists/23766,"Mar 17, 2018",11:15pm , 11:40pm,Maggie Mae's,Hip Hop / Rap
Supraman,https://schedule.sxsw.com/2018/artists/22918,"Mar 16, 2018",10:15pm , 11:00pm,Friends,Electronic
SUR,https://schedule.sxsw.com/2018/artists/22546,"Mar 15, 2018",8:30pm , 9:10pm,Palm Door on Sixth Patio,Rock
Surfbort,https://schedule.sxsw.com/2018/artists/18119,"Mar 16, 2018",8:30pm , 9:00pm,Hotel Vegas Patio,Punk
Surfbort,https://schedule.sxsw.com/2018/artists/18119,"Mar 16, 2018",1:00am , 1:50am,Waller Ballroom,Punk
Surf Gvng,https://schedule.sxsw.com/2018/artists/23201,"Mar 14, 2018",8:45pm , 8:55pm,Buffalo Billiards,Hip Hop / Rap
Surma,https://schedule.sxsw.com/2018/artists/17583,"Mar 17, 2018",9:00pm , 9:40pm,The Hideout,Electronic
Surma,https://schedule.sxsw.com/2018/artists/17583,"Mar 13, 2018",10:20pm , 11:00pm,The Main,Electronic
Surve,https://schedule.sxsw.com/2018/artists/23243,"Mar 16, 2018",6:15pm , 6:30pm,University Avenue Church of Christ,Gospel
Suzi Wu,https://schedule.sxsw.com/2018/artists/22044,"Mar 17, 2018",11:00pm , 11:40pm,British Music Embassy @ Latitude 30,Pop
Suzi Wu,https://schedule.sxsw.com/2018/artists/22044,"Mar 15, 2018",9:10pm , 9:40pm,Empire Control Room,Pop
Suzi Wu,https://schedule.sxsw.com/2018/artists/22044,"Mar 14, 2018",8:00pm , 8:40pm,Seven Grand,Pop
Swimming With Bears,https://schedule.sxsw.com/2018/artists/22832,"Mar 17, 2018",12:00am , 12:40am,Barracuda,Rock
Swoope,https://schedule.sxsw.com/2018/artists/23134,"Mar 14, 2018",11:05pm , 11:20pm,Buffalo Billiards,Hip Hop / Rap
SXSW SLUGFEST - A Night of Pro Boxing and Music,https://schedule.sxsw.com/2018/artists/23593,"Mar 17, 2018",7:00pm , 12:00am,Austin City Limits Live at the Moody Theater,Avant / Experimental
Sylvan Esso,https://schedule.sxsw.com/2018/artists/23029,"Mar 16, 2018",11:00pm , 11:40pm,Lustre Pearl,Pop
SYML,https://schedule.sxsw.com/2018/artists/22630,"Mar 13, 2018",10:00pm , 10:40pm,St David's Historic Sanctuary,Singer Songwriter
Tagore,https://schedule.sxsw.com/2018/artists/22055,"Mar 15, 2018",1:15am , 1:50am,Hotel Vegas Annex,Rock
Talib Kweli,https://schedule.sxsw.com/2018/artists/23547,"Mar 16, 2018",9:15pm , 9:55pm,Container Bar,Hip Hop / Rap
"Talib Kweli feat. DJ Spintelect, K'Valentine, NIKO IS, and The Space Invadaz",https://schedule.sxsw.com/2018/artists/23654,"Mar 16, 2018",12:30am , 1:50am,Highland Lounge,Hip Hop / Rap
Talisco,https://schedule.sxsw.com/2018/artists/18341,"Mar 15, 2018",10:00pm , 10:40pm,Maggie Mae's Rooftop,Rock
Taliwhoah,https://schedule.sxsw.com/2018/artists/22866,"Mar 14, 2018",10:20pm , 10:40pm,Half Step,R & B
Taliwhoah,https://schedule.sxsw.com/2018/artists/22866,"Mar 15, 2018",9:20pm , 9:30pm,The Belmont,R & B
Taliwhoah,https://schedule.sxsw.com/2018/artists/22866,"Mar 13, 2018",10:15pm , 10:35pm,Ironwood Hall,R & B
Tall Juan,https://schedule.sxsw.com/2018/artists/23343,"Mar 16, 2018",8:25pm , 9:05pm,Mohawk Indoor,Rock
Tall Paul/Mic Jordan,https://schedule.sxsw.com/2018/artists/23383,"Mar 17, 2018",9:20pm , 9:50pm,Speakeasy Kabaret,Hip Hop / Rap
Talos,https://schedule.sxsw.com/2018/artists/22822,"Mar 15, 2018",1:00am , 1:40am,The Velveeta Room,Pop
Talos,https://schedule.sxsw.com/2018/artists/22822,"Mar 17, 2018",9:00pm , 9:40pm,Elysium,Pop
Tameca Jones,https://schedule.sxsw.com/2018/artists/22447,"Mar 17, 2018",12:00am , 12:50am,Palm Door on Sixth Patio,R & B
Tangina Stone,https://schedule.sxsw.com/2018/artists/22567,"Mar 17, 2018",11:20pm , 11:40pm,Tap Room at The Market,R & B
Tank and the Bangas,https://schedule.sxsw.com/2018/artists/20615,"Mar 15, 2018",8:30pm , 9:10pm,The Gatsby,Soul
Tank and the Bangas,https://schedule.sxsw.com/2018/artists/20615,"Mar 14, 2018",11:20pm , 12:10am,Stubb's,Soul
Tank and the Bangas,https://schedule.sxsw.com/2018/artists/20615,"Mar 17, 2018",None,TBD,TBD,Soul
Tank Washington,https://schedule.sxsw.com/2018/artists/19234,"Mar 16, 2018",12:15am , 12:30am,Karma Lounge,Hip Hop / Rap
Tascione,https://schedule.sxsw.com/2018/artists/23208,,None,TBD,TBD,Electronic
Tasha the Amazon,https://schedule.sxsw.com/2018/artists/21499,"Mar 17, 2018",1:00am , 1:50am,The Main II,Hip Hop / Rap
TAWINGS,https://schedule.sxsw.com/2018/artists/22641,"Mar 17, 2018",9:15pm , 9:45pm,Hotel Vegas at Volstead,Rock
TAWINGS,https://schedule.sxsw.com/2018/artists/22641,"Mar 15, 2018",8:00pm , 8:40pm,Maggie Mae's,Rock
Taya,https://schedule.sxsw.com/2018/artists/23693,"Mar 15, 2018",8:40pm , 8:50pm,The Belmont,R & B
Taya,https://schedule.sxsw.com/2018/artists/23693,"Mar 16, 2018",12:00am , 12:30am,British Music Embassy @ Latitude 30,R & B
Tayla Parx,https://schedule.sxsw.com/2018/artists/21576,"Mar 15, 2018",10:00pm , 10:10pm,The Belmont,R & B
Teddy and The Rough Riders,https://schedule.sxsw.com/2018/artists/20466,"Mar 14, 2018",8:00pm , 8:40pm,Parish,Rock
Ted Leo,https://schedule.sxsw.com/2018/artists/23505,"Mar 15, 2018",10:00pm , 10:40pm,Scoot Inn,Punk
Ted Park,https://schedule.sxsw.com/2018/artists/23467,"Mar 17, 2018",10:00pm , 10:25pm,The Main,Hip Hop / Rap
Tedy Andreas,https://schedule.sxsw.com/2018/artists/19519,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
The Teeta,https://schedule.sxsw.com/2018/artists/22656,"Mar 16, 2018",11:25pm , 11:40pm,Karma Lounge,Hip Hop / Rap
Temple of Angels,https://schedule.sxsw.com/2018/artists/23076,"Mar 17, 2018",11:45pm , 12:15am,Hotel Vegas,Punk
TENDOUJI,https://schedule.sxsw.com/2018/artists/19393,"Mar 15, 2018",9:00pm , 9:40pm,Maggie Mae's,Rock
Tenille Townes,https://schedule.sxsw.com/2018/artists/18943,"Mar 15, 2018",7:35pm , 7:55pm,Fair Market,Country
Tennis,https://schedule.sxsw.com/2018/artists/23126,"Mar 14, 2018",10:00pm , 10:40pm,Lustre Pearl,Rock
Tennis System,https://schedule.sxsw.com/2018/artists/18205,"Mar 13, 2018",10:45pm , 11:25pm,Barracuda Backyard,Punk
Tennis System,https://schedule.sxsw.com/2018/artists/18205,"Mar 17, 2018",10:00pm , 10:40pm,Barracuda,Punk
Ter'ell Shahid,https://schedule.sxsw.com/2018/artists/23729,"Mar 17, 2018",8:00pm , 8:25pm,Maggie Mae's,Soul
Terence Ryan,https://schedule.sxsw.com/2018/artists/22709,"Mar 14, 2018",8:45pm , 9:25pm,Palm Door on Sabine,Singer Songwriter
Terminal Mind,https://schedule.sxsw.com/2018/artists/23108,"Mar 12, 2018",7:45pm , 8:25pm,The Sidewinder Outside,Punk
Terra Lightfoot,https://schedule.sxsw.com/2018/artists/21528,"Mar 17, 2018",8:00pm , 8:40pm,Cooper's BBQ,Rock
Terra Lightfoot,https://schedule.sxsw.com/2018/artists/21528,"Mar 17, 2018",11:30am , 12:10pm,Flatstock Stage Austin Convention Center,Rock
Terry vs. Tori,https://schedule.sxsw.com/2018/artists/17657,"Mar 16, 2018",12:00am , 12:40am,The Iron Bear,Pop
Terry vs. Tori,https://schedule.sxsw.com/2018/artists/17657,"Mar 17, 2018",11:30pm , 12:00am,720 Club Patio,Pop
The Teskey Brothers,https://schedule.sxsw.com/2018/artists/18621,"Mar 14, 2018",9:00pm , 9:40pm,Blackheart,Soul
The Teskey Brothers,https://schedule.sxsw.com/2018/artists/18621,"Mar 16, 2018",10:00pm , 10:40pm,Lucille,Soul
Th3 Saga,https://schedule.sxsw.com/2018/artists/22621,"Mar 17, 2018",9:50pm , 10:05pm,University Avenue Church of Christ,Hip Hop / Rap
Thandi Phoenix,https://schedule.sxsw.com/2018/artists/21162,"Mar 16, 2018",9:00pm , 9:40pm,18th Over Austin,Electronic
Thandi Phoenix,https://schedule.sxsw.com/2018/artists/21162,"Mar 13, 2018",10:40pm , 11:10pm,Lucille,Electronic
Thee Conductor,https://schedule.sxsw.com/2018/artists/21360,"Mar 13, 2018",7:00pm , 7:40pm,Central Presbyterian Church,Pop
Thee MVPs,https://schedule.sxsw.com/2018/artists/23500,"Mar 17, 2018",8:30pm , 9:00pm,Hotel Vegas at Volstead,Rock
Theodore,https://schedule.sxsw.com/2018/artists/17635,"Mar 16, 2018",11:00pm , 11:50pm,Central Presbyterian Church,Rock
THICK,https://schedule.sxsw.com/2018/artists/20344,"Mar 17, 2018",9:40pm , 10:10pm,Cheer Up Charlie's,Rock
THICK,https://schedule.sxsw.com/2018/artists/20344,"Mar 15, 2018",8:45pm , 9:25pm,720 Club Patio,Rock
This Pine Box,https://schedule.sxsw.com/2018/artists/22825,"Mar 17, 2018",7:45pm , 8:20pm,Swan Dive Patio,Rock
Thunder Dreamer,https://schedule.sxsw.com/2018/artists/20971,"Mar 15, 2018",9:00pm , 9:40pm,Valhalla,Rock
Thunderpussy,https://schedule.sxsw.com/2018/artists/22879,"Mar 13, 2018",1:00am , 1:50am,BD Riley's,Rock
Thutmose,https://schedule.sxsw.com/2018/artists/21354,"Mar 15, 2018",12:00am , 12:40am,Lucille,Hip Hop / Rap
Thutmose,https://schedule.sxsw.com/2018/artists/21354,"Mar 16, 2018",9:10pm , 9:25pm,Cedar Street Courtyard,Hip Hop / Rap
T.I.,https://schedule.sxsw.com/2018/artists/23830,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
Tierra Whack,https://schedule.sxsw.com/2018/artists/23703,"Mar 14, 2018",9:00pm , 9:45pm,Cheer Up Charlie's,Hip Hop / Rap
Tierra Whack,https://schedule.sxsw.com/2018/artists/23703,"Mar 15, 2018",9:00pm , 9:15pm,Stubb's,Hip Hop / Rap
TIGA,https://schedule.sxsw.com/2018/artists/22857,"Mar 16, 2018",7:50pm , 8:00pm,Malverde,World
Tijuana Bibles,https://schedule.sxsw.com/2018/artists/20683,"Mar 16, 2018",10:00pm , 10:40pm,720 Club,Rock
Tijuana Bibles,https://schedule.sxsw.com/2018/artists/20683,"Mar 14, 2018",7:45pm , 8:15pm,Hotel Vegas Annex,Rock
TiKA,https://schedule.sxsw.com/2018/artists/17961,"Mar 17, 2018",10:00pm , 10:40pm,The Iron Bear,Soul
TiKA,https://schedule.sxsw.com/2018/artists/17961,"Mar 16, 2018",10:20pm , 10:50pm,Swan Dive,Soul
Tim Atlas,https://schedule.sxsw.com/2018/artists/19279,"Mar 15, 2018",9:00pm , 9:40pm,Tap Room at The Market,Singer Songwriter
Tim Atlas,https://schedule.sxsw.com/2018/artists/19279,"Mar 14, 2018",7:45pm , 8:15pm,The Sidewinder Outside,Singer Songwriter
Tinashe,https://schedule.sxsw.com/2018/artists/23200,"Mar 14, 2018",11:00pm , 11:30pm,The Gatsby,R & B
Tinashe,https://schedule.sxsw.com/2018/artists/23200,"Mar 15, 2018",11:00pm , 11:30pm,Trinity Warehouse,R & B
Tinnarose,https://schedule.sxsw.com/2018/artists/22666,"Mar 17, 2018",9:00pm , 9:30pm,Hotel Vegas Annex,Pop
Tino Drima,https://schedule.sxsw.com/2018/artists/20484,"Mar 13, 2018",7:00pm , 7:40pm,BD Riley's,Rock
Tiny Ruins,https://schedule.sxsw.com/2018/artists/21546,"Mar 16, 2018",7:45pm , 8:15pm,Hotel Vegas Patio,Folk
Tiny Ruins,https://schedule.sxsw.com/2018/artists/21546,"Mar 17, 2018",11:00pm , 11:40pm,Parish,Folk
The Tissues,https://schedule.sxsw.com/2018/artists/22975,"Mar 13, 2018",8:45pm , 9:25pm,Barracuda Backyard,Punk
Tita Lima,https://schedule.sxsw.com/2018/artists/20291,"Mar 16, 2018",8:00pm , 8:40pm,Russian House,World
TITAN (Dj Set),https://schedule.sxsw.com/2018/artists/23275,"Mar 14, 2018",1:00am , 1:40am,The Main,Electronic
Tjay 848,https://schedule.sxsw.com/2018/artists/23375,"Mar 15, 2018",9:50pm , 10:05pm,Buffalo Billiards,Hip Hop / Rap
Tje Austin,https://schedule.sxsw.com/2018/artists/23090,"Mar 14, 2018",1:00am , 1:50am,Saxon Pub,Soul
Todd Rundgren,https://schedule.sxsw.com/2018/artists/22787,"Mar 15, 2018",1:00am , 1:50am,Elysium,Rock
Tokyo Jetz,https://schedule.sxsw.com/2018/artists/23558,,None,TBD,TBD,Hip Hop / Rap
Tomar and the FCs,https://schedule.sxsw.com/2018/artists/17846,"Mar 17, 2018",9:00pm , 9:40pm,Palm Door on Sixth Patio,Soul
TOMKAT,https://schedule.sxsw.com/2018/artists/21410,"Mar 12, 2018",9:10pm , 9:40pm,The Sidewinder Inside,Pop
Tommy 2 Stix,https://schedule.sxsw.com/2018/artists/20941,"Mar 17, 2018",11:25pm , 11:45pm,Mohawk Indoor,Hip Hop / Rap
Topaz Jones,https://schedule.sxsw.com/2018/artists/22898,"Mar 16, 2018",11:45pm , 12:10am,Cheer Up Charlie's,Hip Hop / Rap
Topaz Jones,https://schedule.sxsw.com/2018/artists/22898,"Mar 15, 2018",10:30pm , 10:50pm,800 Congress,Hip Hop / Rap
Torae,https://schedule.sxsw.com/2018/artists/23176,"Mar 15, 2018",8:20pm , 8:30pm,Buffalo Billiards,Hip Hop / Rap
Tori Forsyth,https://schedule.sxsw.com/2018/artists/17804,"Mar 13, 2018",9:00pm , 9:40pm,Cooper's BBQ,Alt Country
Totally Mild,https://schedule.sxsw.com/2018/artists/19378,"Mar 16, 2018",8:00pm , 8:40pm,Lucille,Pop
Totally Mild,https://schedule.sxsw.com/2018/artists/19378,"Mar 15, 2018",8:00pm , 8:40pm,Cooper's BBQ,Pop
Touts,https://schedule.sxsw.com/2018/artists/19489,"Mar 15, 2018",8:00pm , 8:40pm,The Velveeta Room,Punk
Touts,https://schedule.sxsw.com/2018/artists/19489,"Mar 13, 2018",1:00am , 1:40am,British Music Embassy @ Latitude 30,Punk
Touts,https://schedule.sxsw.com/2018/artists/19489,"Mar 16, 2018",9:45pm , 10:25pm,720 Club Patio,Punk
Tracy Bryant,https://schedule.sxsw.com/2018/artists/21624,"Mar 17, 2018",10:30pm , 11:00pm,Hotel Vegas Annex,Rock
Trae Tha Truth,https://schedule.sxsw.com/2018/artists/23478,"Mar 17, 2018",None,TBD,TBD,Hip Hop / Rap
Trae Tha Truth,https://schedule.sxsw.com/2018/artists/23478,"Mar 14, 2018",12:40am , 1:00am,Ironwood Hall,Hip Hop / Rap
Trae Tha Truth + Special Guests,https://schedule.sxsw.com/2018/artists/23829,"Mar 15, 2018",8:00pm , 1:50am,Empire Garage,Hip Hop / Rap
Travis Linville,https://schedule.sxsw.com/2018/artists/23091,"Mar 14, 2018",12:00am , 12:40am,Cooper's BBQ,Americana
Travis Porter,https://schedule.sxsw.com/2018/artists/23633,"Mar 15, 2018",10:40pm , 10:55pm,Ironwood Hall,Hip Hop / Rap
Tree,https://schedule.sxsw.com/2018/artists/23009,"Mar 17, 2018",8:20pm , 8:35pm,Tap Room at The Market,R & B
Tre Stanley,https://schedule.sxsw.com/2018/artists/23706,"Mar 16, 2018",10:35pm , 10:50pm,Maggie Mae's Rooftop,Hip Hop / Rap
"A Tribute to Blaze Foley (w/ Ben Dickey, Gurf Morlix, Alynda Segarra [Hurrah for the Riff Raff], Nikki Lane, JT Van Zandt, and The Texas Gentlemen) ",https://schedule.sxsw.com/2018/artists/23515,"Mar 16, 2018",9:00pm , 10:30pm,Paramount Theatre,Country
TRiLLBASS,https://schedule.sxsw.com/2018/artists/23595,"Mar 17, 2018",10:40pm , 11:20pm,Barcelona,Electronic
Triple Thr33,https://schedule.sxsw.com/2018/artists/23285,"Mar 16, 2018",9:50pm , 10:05pm,University Avenue Church of Christ,Gospel
Tristen,https://schedule.sxsw.com/2018/artists/21490,"Mar 15, 2018",11:00pm , 11:40pm,The Townsend,Rock
Tristen,https://schedule.sxsw.com/2018/artists/21490,"Mar 13, 2018",10:00pm , 10:40pm,Cheer Up Charlie's Inside,Rock
Trophy Dad,https://schedule.sxsw.com/2018/artists/18729,"Mar 17, 2018",11:00pm , 11:40pm,The Velveeta Room,Rock
Trophy Dad,https://schedule.sxsw.com/2018/artists/18729,"Mar 14, 2018",7:45pm , 8:25pm,720 Club Patio,Rock
Trouble Boys,https://schedule.sxsw.com/2018/artists/23191,"Mar 17, 2018",8:45pm , 9:15pm,Hotel Vegas,Rock
